run,mse,settling_us,power_mw,c_mismatch_pct
78,6.29828342637332e-06,6.444562274990026,0.8075788632617251,4.409493562653884
79,6.276072852957516e-06,6.016520136768173,0.6860900613761649,3.0290812419720914
80,6.33231319019028e-06,5.994796238262875,0.7272377141826553,5.460542584066945
81,6.25533963091426e-06,5.940618044197488,0.8851209067223073,3.0991733451781145
82,6.059186651637737e-06,6.040435645982438,0.8740483782986251,4.159655348480314
83,6.820085924298463e-06,6.400592860574119,0.7174640196584945,4.234478134189255
84,7.112886199747137e-06,6.165367288642811,0.721958411819169,3.7393218628179237
85,6.041562542408461e-06,5.956504294268721,0.8795091956858673,3.5889250958849295
86,5.661835751958215e-06,6.453605923337098,0.7835507216363969,4.31387584188222
87,6.440813215553645e-06,5.9959873390232685,0.7649000921128855,3.048763630693858
88,6.066619649118814e-06,5.915227013343968,0.7549676163331316,2.453468814692572
89,5.3080613033056815e-06,6.213551324536471,0.7395660497506914,4.598772375673887
90,6.020961015143115e-06,6.364853198650001,0.7707847672414009,3.1398555205739824
91,6.034644840112292e-06,6.109208870263083,0.8611759068104905,3.915470582806191
92,5.9825762194186405e-06,5.931410092934501,0.7712348253969792,2.921941922266167
93,5.673701964939891e-06,5.977667460868239,0.761124117801492,2.6723530814405794
94,6.5765711991553595e-06,5.862053167274069,0.8397952152674443,5.4009492284266285
95,6.386977187140045e-06,6.351488969649453,0.7258566708337845,5.179227668015766
96,6.580668410742939e-06,6.380645759011424,0.8624270365097022,4.551482506110749
97,7.222381362588612e-06,5.945088486009028,0.8404204252734462,3.635425222777946
98,6.972851035076226e-06,6.208178154549708,0.7921510648064172,6.948707501276077
99,6.395160648201009e-06,6.327659410414147,0.757056602298886,3.6346041045735156
100,6.115036808071125e-06,6.225611133931092,0.8046507162365645,3.973239098743586
